Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
2493,The Time Machine,H.G. Wells,,,4,3.9,Signet Classics,118.0,2002.0,1895.0,,2020-04-11,"classics_read, read",1
14935,Sense and Sensibility,Jane Austen,,,5,4.08,Penguin Books,409.0,2003.0,1811.0,,2020-02-28,"classics_read, read",1
1934,Little Women,Louisa May Alcott,,,5,4.13,Signet Classics,449.0,2004.0,1868.0,,2020-02-26,"classics_read, read",1
170448,Animal Farm,George Orwell,0451526341,9780451526342,5,3.98,Signet Classics,141.0,1996.0,1945.0,,2020-02-26,"classics_read, read",1
8492907,Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100,Michio Kaku,0385530803,9780385530804,5,4.0,Doubleday,416.0,2011.0,2011.0,2019-01-01,2021-01-01,"science, read",1
2094,A Briefer History of Time,Stephen Hawking,0553804367,9780553804362,4,4.25,Bantam,176.0,2005.0,2005.0,,2021-01-01,"science, read",1
2095,The Universe in a Nutshell,Stephen Hawking,055380202X,9780553802023,4,4.18,Bantam,216.0,2001.0,2001.0,,2021-01-01,"science, read",1
33418,"Parallel Worlds: A Journey through Creation, Higher Dimensions, and the Future of the Cosmos",Michio Kaku,1400033721,9781400033720,5,4.2,Anchor,361.0,2006.0,2004.0,,2021-01-01,"science, read",1
33426,"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the Tenth Dimension",Michio Kaku,0192861891,9780192861894,5,4.14,Oxford Univ Pr (T),359.0,1995.0,1994.0,,2021-01-01,"science, read",1
100006,Schrödinger's Kittens and the Search for Reality: Solving the Quantum Mysteries,John Gribbin,0316328197,9780316328197,5,4.06,Back Bay Books,272.0,1996.0,1984.0,,2021-01-01,"science, read",1
215788,"The Search for Superstrings, Symmetry, and the Theory of Everything",John Gribbin,0316326143,9780316326148,4,3.87,Back Bay Books,224.0,2000.0,1998.0,,2021-01-01,"science, read",1
